step,loss,fit,kl,normW,logdetV,sigma2,rhoW,val_bound
20,-46.560487971757965,-46.73544614856588,0.1610607113287964,0.0739279875342704,-1.2372517659611044,0.12457317319977419,0.045378906703686675,-42.23571062781905
21,-46.36552252315572,-46.559497792778615,0.180032837504994,0.07748836173421512,-1.2401114748854267,0.12445522941322149,0.04755728815744297,-41.390478170596516
22,-46.61538693575466,-46.78077200770902,0.15139696128575036,0.08105644909340219,-1.2429856394344236,0.12433732097771509,0.04975063605074316,-42.571859198812625
23,-44.96720184866645,-45.1321107554424,0.150874763530929,0.08455959525450756,-1.245864608816193,0.12421945740266055,0.05190192016486731,-43.09245281074052
24,-44.28486772086751,-44.46741757824772,0.16846914290668205,0.08805879335949028,-1.2487481445396948,0.1241019162357161,0.05404972663711573,-42.892885028377854
25,-47.79245345024909,-47.95672091899104,0.15013981400836174,0.0915086764849629,-1.2516360898716248,0.12398478293315299,0.05615339714840953,-42.868015479215934
26,-46.925618894142644,-47.0675831251556,0.12778929228176858,0.09491073821289227,-1.2545275624387262,0.12386743729795444,0.05824148642630101,-42.56661665852484
27,-47.10501827929772,-47.2753905269768,0.15614960973662212,0.09829637739226997,-1.257419851961771,0.1237500929375778,0.060316840197448325,-42.582497328217976
28,-48.592636744557495,-48.77367280387334,0.16676544097750773,0.10165110397461123,-1.2603072435210165,0.12363272460740939,0.062363996429993164,-42.087465328479276
29,-46.99830510491004,-47.15872970048514,0.14610545460116842,0.10501141953958047,-1.2631997799656423,0.12351509223404111,0.064398866166368,-44.77827690644019
30,-44.87315355530249,-45.04663092611625,0.15910954617564205,0.10828383882418124,-1.2660992657006829,0.1233975172179059,0.06636130918526668,-41.52919470164214
31,-47.3467307605999,-47.51610141881932,0.15495338725199115,0.11161517947735221,-1.26900412063906,0.12328039370857288,0.06836489828986167,-42.914335418174424
32,-47.927088059099894,-48.08444057184474,0.14288546804596416,0.11491619603196532,-1.2719103015374809,0.12316323596674138,0.0703438765853236,-44.467826003637214
33,-46.185207812186206,-46.33699771148671,0.13727256954042397,0.11824770850042207,-1.2748101610808038,0.12304600724719103,0.07235546872705273,-42.535253691344096
34,-47.643344330330535,-47.79276857391502,0.13485621858710561,0.12156787193653752,-1.277711227319445,0.12292903892915577,0.07435729519826972,-44.73750383826579
35,-48.78558788437122,-48.935877496752596,0.13567078786085474,0.12481755193713574,-1.2806129959883432,0.12281204512725012,0.07630668514777787,-43.84767180287365
36,-45.39499667602042,-45.555103660075886,0.14543717351128746,0.1280053820551548,-1.2835209303500097,0.12269483949271327,0.07822346083700076,-42.43202710645182
37,-45.520819225675325,-45.6780899148863,0.1425500811662921,0.13108564452984903,-1.286425723370078,0.12257808410547177,0.0800383413642452,-43.97265766804592
